epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6775000095367432,516.0,516.0,1.5297863483428955,0.6775000095367432,0.6775000095367432,0.8374999761581421,0.8374999761581421,1084.0,1084.0,0.755821704864502,734.0,734.0,0.5771830677986145,0.755821704864502,0.755821704864502,0.9015302658081055,0.9015302658081055,2272.0,2272.0
1,0.6924999952316284,492.0,492.0,0.6580488085746765,0.6924999952316284,0.6924999952316284,0.8912500143051147,0.8912500143051147,1108.0,1108.0,0.5,1503.0,1503.0,4.533727645874023,0.5,0.5,0.5,0.5,1503.0,1503.0
2,0.721875011920929,445.0,445.0,0.6077122092247009,0.721875011920929,0.721875011920929,0.8968750238418579,0.8968750238418579,1155.0,1155.0,0.5,1503.0,1503.0,6.541652202606201,0.5,0.5,0.5,0.5,1503.0,1503.0
3,0.6881250143051147,499.0,499.0,0.6522045731544495,0.6881250143051147,0.6881250143051147,0.7818750143051147,0.7818750143051147,1101.0,1101.0,0.5628742575645447,1314.0,1314.0,0.7143288254737854,0.5628742575645447,0.5628742575645447,0.6506986021995544,0.6506986021995544,1692.0,1692.0
4,0.708020031452179,466.0,466.0,0.653886616230011,0.708020031452179,0.708020031452179,0.902255654335022,0.902255654335022,1130.0,1130.0,0.6440452337265015,1070.0,1070.0,0.9218763709068298,0.6440452337265015,0.6440452337265015,0.7671324014663696,0.7671324014663696,1936.0,1936.0
5,0.7393483519554138,416.0,416.0,0.5845733284950256,0.7393483519554138,0.7393483519554138,0.9210526347160339,0.9210526347160339,1180.0,1180.0,0.5276114344596863,1420.0,1420.0,2.163098096847534,0.5276114344596863,0.5276114344596863,0.5618762373924255,0.5618762373924255,1586.0,1586.0
6,0.7055137753486633,470.0,470.0,0.5699202418327332,0.7055137753486633,0.7055137753486633,0.9047619104385376,0.9047619104385376,1126.0,1126.0,0.7165668606758118,852.0,852.0,0.6625052690505981,0.7165668606758118,0.7165668606758118,0.8805721998214722,0.8805721998214722,2154.0,2154.0
7,0.7231249809265137,443.0,443.0,0.5522487759590149,0.7231249809265137,0.7231249809265137,0.9106249809265137,0.9106249809265137,1157.0,1157.0,0.7485029697418213,756.0,756.0,0.5392255783081055,0.7485029697418213,0.7485029697418213,0.8955422639846802,0.8955422639846802,2250.0,2250.0
8,0.737500011920929,420.0,420.0,0.5081126689910889,0.737500011920929,0.737500011920929,0.9231250286102295,0.9231250286102295,1180.0,1180.0,0.8033931851387024,591.0,591.0,0.5063169598579407,0.8033931851387024,0.8033931851387024,0.9347970485687256,0.9347970485687256,2415.0,2415.0
9,0.7468671798706055,404.0,404.0,0.5063580274581909,0.7468671798706055,0.7468671798706055,0.9310777187347412,0.9310777187347412,1192.0,1192.0,0.8200266361236572,541.0,541.0,0.42489537596702576,0.8200266361236572,0.8200266361236572,0.9554224610328674,0.9554224610328674,2465.0,2465.0
