epoch,accuracy,false_negatives,false_positives,loss,precision,recall,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.8296703100204468,155.0,155.0,1.34618079662323,0.8296703100204468,0.8296703100204468,0.9197801947593689,0.9197801947593689,755.0,755.0,0.645714282989502,124.0,124.0,1.7282122373580933,0.645714282989502,0.645714282989502,0.8171428442001343,0.8171428442001343,226.0,226.0
1,0.8780219554901123,111.0,111.0,0.5271115303039551,0.8780219554901123,0.8780219554901123,0.9670329689979553,0.9670329689979553,799.0,799.0,0.545714259147644,159.0,159.0,2.889901638031006,0.545714259147644,0.545714259147644,0.6228571534156799,0.6228571534156799,191.0,191.0
2,0.8999999761581421,91.0,91.0,0.3794265389442444,0.8999999761581421,0.8999999761581421,0.9736263751983643,0.9736263751983643,819.0,819.0,0.6342856884002686,128.0,128.0,2.079677104949951,0.6342856884002686,0.6342856884002686,0.7657142877578735,0.7657142877578735,222.0,222.0
3,0.8912087678909302,99.0,99.0,0.32788223028182983,0.8912087678909302,0.8912087678909302,0.9758241772651672,0.9758241772651672,811.0,811.0,0.5285714268684387,165.0,165.0,4.870916366577148,0.5285714268684387,0.5285714268684387,0.5514285564422607,0.5514285564422607,185.0,185.0
4,0.892307698726654,98.0,98.0,0.35183146595954895,0.892307698726654,0.892307698726654,0.9725274443626404,0.9725274443626404,812.0,812.0,0.4942857027053833,177.0,177.0,8.673463821411133,0.4942857027053833,0.4942857027053833,0.0,0.17142857611179352,173.0,173.0
5,0.8527472615242004,134.0,134.0,0.47716784477233887,0.8527472615242004,0.8527472615242004,0.9703296422958374,0.9703296422958374,776.0,776.0,0.6600000262260437,119.0,119.0,1.0767651796340942,0.6600000262260437,0.6600000262260437,0.8399999737739563,0.8399999737739563,231.0,231.0
6,0.906593382358551,85.0,85.0,0.335548460483551,0.906593382358551,0.906593382358551,0.9714285731315613,0.9714285731315613,825.0,825.0,0.6342856884002686,128.0,128.0,3.2639904022216797,0.6342856884002686,0.6342856884002686,0.8371428847312927,0.8371428847312927,222.0,222.0
7,0.898901104927063,92.0,92.0,0.2640182673931122,0.898901104927063,0.898901104927063,0.9890109896659851,0.9890109896659851,818.0,818.0,0.7771428823471069,78.0,78.0,0.8808407187461853,0.7771428823471069,0.7771428823471069,0.8771428465843201,0.8771428465843201,272.0,272.0
8,0.9142857193946838,78.0,78.0,0.26605740189552307,0.9142857193946838,0.9142857193946838,0.9813186526298523,0.9813186526298523,832.0,832.0,0.7914285659790039,73.0,73.0,0.7314674854278564,0.7914285659790039,0.7914285659790039,0.9028571248054504,0.9028571248054504,277.0,277.0
9,0.9197801947593689,73.0,73.0,0.29584845900535583,0.9197801947593689,0.9197801947593689,0.9879120588302612,0.9879120588302612,837.0,837.0,0.8714285492897034,45.0,45.0,0.7469900846481323,0.8714285492897034,0.8714285492897034,0.9399999976158142,0.9399999976158142,305.0,305.0
